chlorophyll,current_speed,resident_detections,total_detections
0.36230516,0.34776014,608.0,608.0
0.3673957,0.33093214,54.0,681.0
0.3673957,0.33093214,616.0,681.0
0.43214908,0.29917085,5.0,644.0
0.43214908,0.29917085,638.0,644.0
0.46509427,0.2838779,573.0,573.0
0.5331539,0.284899,609.0,609.0
0.5547899,0.25637257,571.0,572.0
0.55804574,0.27950922,544.0,573.0
0.50997627,0.30610234,437.0,489.0
0.4627539,0.3167072,235.0,388.0
0.55781543,0.32454318,167.0,188.0
0.55647093,0.33172888,126.0,141.0
0.48123673,0.33225432,27.0,134.0
0.48123673,0.33225432,99.0,134.0
0.38861263,0.33588362,20.0,166.0
0.38861263,0.33588362,126.0,166.0
0.36774042,0.3339407,,57.0
0.28974614,0.3262985,16.0,178.0
0.28974614,0.3262985,158.0,178.0
0.2600557,0.33816445,9.0,374.0
0.2600557,0.33816445,360.0,374.0
0.35787278,0.31864366,4.0,619.0
0.35787278,0.31864366,615.0,619.0
0.38462445,0.30999488,11.0,504.0
0.38462445,0.30999488,493.0,504.0
0.42194355,0.2885779,8.0,634.0
0.42194355,0.2885779,624.0,634.0
0.4620956,0.27871627,22.0,657.0
0.4620956,0.27871627,634.0,657.0
0.54140997,0.34002963,6.0,631.0
0.54140997,0.34002963,624.0,631.0
0.6237504,0.37200052,622.0,625.0
0.66270834,0.37923124,519.0,521.0
0.4111569,0.4128862,628.0,628.0
0.3741641,0.42722294,619.0,619.0
0.68700504,0.4342463,576.0,576.0
0.36953285,0.43325788,600.0,600.0
0.35220385,0.4253111,638.0,638.0
0.40529597,0.4014844,659.0,659.0
0.44418776,0.36247295,691.0,691.0
0.57068944,0.39850044,579.0,579.0
0.73247415,0.37492636,653.0,653.0
0.5109029,0.3504739,657.0,657.0
0.48557037,0.31304568,636.0,636.0
0.5654514,0.24296594,639.0,639.0
0.62426734,0.24600454,537.0,537.0
0.6630012,0.26688218,683.0,683.0
0.7728704,0.29996338,611.0,611.0
0.9952804,0.33964747,631.0,631.0
1.0224601,0.32453147,633.0,633.0
0.78368706,0.3328064,626.0,626.0
0.85089576,0.3500355,516.0,516.0
0.85642236,0.39529434,621.0,621.0
0.8313502,0.41571265,693.0,693.0
0.7754801,0.41793352,638.0,638.0
0.6892239,0.38672197,636.0,636.0
0.61618114,0.31313342,557.0,557.0
0.5644146,0.27347797,476.0,476.0
0.6504825,0.27338952,531.0,531.0
0.7876397,0.26614004,603.0,603.0
0.7331602,0.30393296,644.0,644.0
0.6746278,0.35168666,700.0,700.0
0.6234399,0.40717733,767.0,767.0
0.667017,0.44731462,784.0,784.0
0.67791784,0.45599312,794.0,794.0
0.74181736,0.46351248,788.0,788.0
0.6022024,0.42305326,796.0,796.0
0.52066535,0.38546878,783.0,783.0
0.49351624,0.3473662,787.0,787.0
