time,current_speed
2013-03-27,0.41253608
2013-03-28,0.4152724
2013-03-29,0.43820664
2013-03-30,0.45761332
2013-03-31,0.4552525
2013-04-01,0.45581314
2013-04-02,0.39577842
2013-04-03,0.34908313
2013-04-04,0.32681882
2013-04-05,0.3109904
2013-04-06,0.2648141
2013-04-07,0.25950378
2013-04-08,0.30763823
2013-04-09,0.34976238
2013-04-10,0.36325362
2013-04-11,0.4106542
2013-04-12,0.4512996
2013-04-13,0.5008138
2013-04-14,0.48963702
2013-04-15,0.44879925
2013-04-16,0.42982522
2013-04-17,0.39694294
2013-04-18,0.3127877
2013-04-19,0.24418715
2013-04-20,0.23309551
2013-04-21,0.20280632
2013-04-22,0.25761247
2013-04-23,0.2854709
2013-04-24,0.319766
2013-04-25,0.37221
2013-04-26,0.47084183
2013-04-27,0.4392537
2013-04-28,0.4671356
2013-04-29,0.3733085
2013-04-30,0.47432587
2013-05-01,0.48530477
2013-05-02,0.39977753
2013-05-03,0.34060156
2013-05-04,0.37927973
2013-05-05,0.36977452
2013-05-06,0.41593787
2013-05-07,0.5163758
2013-05-08,0.43685594
2013-05-09,0.4086728
2013-05-10,0.41836432
2013-05-11,0.43741345
2013-05-12,0.44779497
2013-05-13,0.446643
2013-05-14,0.42649937
2013-05-15,0.38380718
2013-05-16,0.3491616
2013-05-17,0.31116068
2013-05-18,0.2617406
2013-05-19,0.24880491
2013-05-20,0.24047922
2013-05-21,0.28552634
2013-05-22,0.38348368
2013-05-23,0.49939233
2013-05-24,0.40839088
2013-05-25,0.37875795
2013-05-26,0.34860802
2013-05-27,0.40695506
2013-05-28,0.43193012
2013-05-29,0.41396004
2013-05-30,0.39570764
2013-05-31,0.3628599
2013-06-01,0.33854714
2013-06-02,0.32306117
2013-06-03,0.3880742
2013-06-04,0.38272095
2013-06-05,0.36273384
2013-06-06,0.34930056
2013-06-07,0.39046976
2013-06-08,0.41691434
2013-06-09,0.43939877
2013-06-10,0.4469443
2013-06-11,0.43273026
2013-06-12,0.3882885
2013-06-13,0.33446947
2013-06-14,0.31558692
2013-06-15,0.2770059
2013-06-16,0.2215003
2013-06-17,0.31872755
2013-06-18,0.33431426
2013-06-19,0.26913574
2013-06-20,0.25865638
2013-06-21,0.2744971
2013-06-22,0.3097642
2013-06-23,0.33001295
2013-06-24,0.3501876
2013-06-25,0.3827229
2013-06-26,0.39202017
2013-06-27,0.39065748
2013-06-28,0.3821677
2013-06-29,0.35606396
2013-06-30,0.30595523
2013-07-01,0.32698634
2013-07-02,0.31889892
2013-07-03,0.3338341
2013-07-04,0.36403614
2013-07-05,0.3948317
2013-07-06,0.41841286
2013-07-07,0.4070763
2013-07-08,0.40193945
2013-07-09,0.3987583
2013-07-10,0.37683225
2013-07-11,0.36165303
2013-07-12,0.36322773
2013-07-13,0.31454986
2013-07-14,0.29507157
2013-07-15,0.27010787
2013-07-16,0.23928502
2013-07-17,0.25564736
2013-07-18,0.22818963
2013-07-19,0.20198505
2013-07-20,0.26167482
2013-07-21,0.28769362
2013-07-22,0.31932592
2013-07-23,0.33972734
2013-07-24,0.36906576
2013-07-25,0.3923949
2013-07-26,0.40040323
2013-07-27,0.3993438
2013-07-28,0.409174
2013-07-29,0.38701212
2013-07-30,0.36653614
2013-07-31,0.30265856
2013-08-01,0.28271252
2013-08-02,0.31125653
2013-08-03,0.32169473
2013-08-04,0.3493732
2013-08-05,0.3622393
2013-08-06,0.38813376
2013-08-07,0.3952737
2013-08-08,0.3698297
2013-08-09,0.38295603
2013-08-10,0.36880058
2013-08-11,0.3183813
2013-08-12,0.28869665
2013-08-13,0.24708226
2013-08-14,0.26126826
2013-08-15,0.24427673
2013-08-16,0.23581925
2013-08-17,0.24981028
2013-08-18,0.28116804
2013-08-19,0.30097353
2013-08-20,0.3247754
2013-08-21,0.35338002
2013-08-22,0.38107902
2013-08-23,0.39958835
2013-08-24,0.40732244
2013-08-25,0.45764303
2013-08-26,0.42609257
2013-08-27,0.41536164
2013-08-28,0.40040028
2013-08-29,0.3264101
2013-08-30,0.30668622
2013-08-31,0.30530953
2013-09-01,0.3340422
2013-09-02,0.32818288
2013-09-03,0.31090045
2013-09-04,0.32246625
2013-09-05,0.3305136
2013-09-06,0.32336035
2013-09-07,0.324846
2013-09-08,0.31957227
2013-09-09,0.31371346
2013-09-10,0.2954815
2013-09-11,0.2883656
2013-09-12,0.29444927
2013-09-13,0.25003722
2013-09-14,0.24310482
2013-09-15,0.24124156
2013-09-16,0.2537345
2013-09-17,0.27577138
2013-09-18,0.30071485
2013-09-19,0.3382662
2013-09-20,0.3668368
2013-09-21,0.40213603
2013-09-22,0.42097723
2013-09-23,0.41467068
2013-09-24,0.40430835
2013-09-25,0.38231346
2013-09-26,0.34738806
2013-09-27,0.31068444
2013-09-28,0.27384615
2013-09-29,0.2630574
2013-09-30,0.26598975
2013-10-01,0.26240516
2013-10-02,0.34875652
2013-10-03,0.3375731
2013-10-04,0.3160538
2013-10-05,0.3412606
2013-10-06,0.34891665
2013-10-07,0.36899936
2013-10-08,0.39335108
2013-10-09,0.38680375
2013-10-10,0.36939594
2013-10-11,0.3484996
2013-10-12,0.2892459
2013-10-13,0.27104115
2013-10-14,0.2352653
2013-10-15,0.24607088
2013-10-16,0.268593
2013-10-17,0.30558202
2013-10-18,0.3424521
2013-10-19,0.37241304
2013-10-20,0.39963695
2013-10-21,0.41564286
2013-10-22,0.42053992
2013-10-23,0.4185402
2013-10-24,0.4045605
2013-10-25,0.3691785
2013-10-26,0.3110475
2013-10-27,0.2649687
2013-10-28,0.21795797
2013-10-29,0.23358761
2013-10-30,0.2356863
2013-10-31,0.2503946
2013-11-01,0.26511914
2013-11-02,0.27389905
2013-11-03,0.30191568
2013-11-04,0.31611964
2013-11-05,0.32463276
2013-11-06,0.32810545
2013-11-07,0.3342116
2013-11-08,0.34353226
2013-11-09,0.32568923
2013-11-10,0.3031878
2013-11-11,0.28974938
2013-11-12,0.31221372
2013-11-13,0.33063805
2013-11-14,0.32179874
2013-11-15,0.30732393
2013-11-16,0.3339604
2013-11-17,0.35581958
2013-11-18,0.38622355
2013-11-19,0.4089954
2013-11-20,0.42543048
2013-11-21,0.40778214
2013-11-22,0.3805007
2013-11-23,0.34106225
