date,current,wind,salinity,temperature,u,v
2012-01-05,0.31817445,5.357719,35.62238,24.836084,0.05839895,-0.0019144822
2012-01-06,0.3442076,4.74199,35.62445,24.922575,0.07028162,0.018087009
2012-01-07,0.36215007,5.834376,35.62804,24.996792,0.042189464,-0.002534718
2012-01-08,0.40079504,3.733984,35.633408,25.052317,0.11040561,-0.05503552
2012-01-09,0.4122811,6.8573623,35.640724,25.0671,0.12749636,-0.08690571
2012-01-10,0.4015197,7.56075,35.642464,25.137093,0.09473733,-0.0608306
2012-01-11,0.44932896,8.105885,35.64333,25.217407,0.18124892,-0.10075419
2012-01-12,0.47103786,8.202723,35.645416,25.344238,0.07910489,0.058860406
2012-01-13,0.4434097,8.567235,35.652664,25.18411,-0.14523846,0.057067282
2012-01-14,0.4054662,7.6900935,35.658054,25.066294,-0.15136415,0.0785032
2012-01-15,0.3907784,8.005731,35.632854,24.914291,-0.21993792,0.074831806
2012-01-16,0.4821801,14.10287,35.629745,24.693333,-0.40895504,0.16926745
2012-01-17,0.3139989,7.515135,35.58458,24.828733,0.01267226,-0.13212562
2012-01-18,0.26996338,4.6288805,35.591423,24.837778,-0.089577675,0.11088608
2012-01-19,0.41040447,4.2760863,35.59558,24.926315,-0.11097824,0.069535464
2012-01-20,0.46907204,7.8099055,35.59607,24.918781,-0.18238972,0.061657343
2012-01-21,0.516958,8.268523,35.551136,25.014494,-0.21140185,0.06142089
2012-01-22,0.5502126,8.673579,35.506176,25.142538,-0.21908382,0.032771852
2012-01-23,0.54263806,7.280226,35.448875,25.296167,-0.21042661,-0.013114414
2012-01-24,0.54164445,6.312471,35.299187,25.300762,-0.16015281,-0.16575617
2012-01-25,0.4865478,5.5413,35.28762,25.21646,-0.020272907,-0.1662229
2012-01-26,0.44108763,4.9928327,35.341732,25.167953,0.038126033,-0.087588
2012-01-27,0.4000096,7.5623584,35.347557,25.273478,-0.056853317,-0.03577861
2012-01-28,0.3626967,10.647555,35.359623,25.356663,-0.15061542,-0.09314355
2012-01-29,0.2937353,8.936229,35.388775,25.374815,-0.039042395,-0.13724928
2012-01-30,0.2189655,7.224075,35.40311,25.400894,-0.008775921,-0.08577689
2012-01-31,0.21001624,5.781341,35.413578,25.487688,0.025220936,0.018245397
2012-02-01,0.17848368,7.3625813,35.41327,25.626745,-0.063732855,0.014556115
2012-02-02,0.2571486,8.456447,35.414368,25.6917,-0.08516578,0.018815786
2012-02-03,0.31684923,7.0443397,35.422054,25.703203,-0.06725908,0.0299285
2012-02-04,0.36869064,6.6119676,35.431576,25.705902,-0.08443628,0.043513812
2012-02-05,0.42646593,5.236618,35.436398,25.729752,-0.09094166,0.076364085
2012-02-06,0.452831,2.5962963,35.436844,25.80787,-0.101660356,0.07405545
2012-02-07,0.48384467,3.0121207,35.4412,25.8344,-0.058507454,0.025932888
2012-02-08,0.49226633,3.9689128,35.442802,25.879246,-0.0757857,0.056267936
2012-02-09,0.5012311,6.7062607,35.43668,25.968742,-0.10690944,0.12049507
2012-02-10,0.5039164,7.285054,35.438255,26.05877,-0.1624599,0.13003784
